"field","description","category","parameters","notes","source"
"TR.Ask","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.AssetCategoryCode","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.ASSETCATEGORYCODE","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.AVGDAILYVOLUME6M","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.Bid","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.CAADJUSTMENTFACTOR","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.CAADJUSTMENTTYPE","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.CAEFFECTIVEDATE","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.CLOSE","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.CLOSEPRICE","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.COMMONNAME","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.CompanyMarketCap","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.COMPANYMARKETCAP","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.CompanyName","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.COMPANYNAME","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.EBITDA","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.EIKONFORMULA.DATE","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.EPS","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.EXCHANGEMARKETIDCODE","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.ExchangeName","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.EXCHANGENAME","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.FREECASHFLOW","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.FreeFloatPct","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.FREEFLOATPCT","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.GrossProfit","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.GROSSPROFIT","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.HighPrice","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.INSTRUMENTISACTIVE","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.INSTRUMENTTYPE","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.ISINCODE","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.IssueMarketCap","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.ISSUEMARKETCAP","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.IssueSharesOutstanding","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.ISSUESHARESOUTSTANDING","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.IVPRICETOLNTRINSICVALUEGLOBALRANK","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.LIPPERRICCODE","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.LowPrice","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.LOWPRICE","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.OPEN","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.OPERATINGMIC","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.PE","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.PriceTargetMean","","Pricing/Reference/Fundamentals","SDate:0CY","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.PRICETARGETMEAN","","Pricing/Reference/Fundamentals","SDATE:0CY","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.PrimaryInstrument","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.PRIMARYINSTRUMENT","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.PrimaryRICCode","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.PRIMARYRICCODE","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.RDNEXCHANGECODE","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.RETIREDATE","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.Revenue","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.REVENUE","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.Revenue.date","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.REVENUE.DATE","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.RIC","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.RICCODE","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.SHARESFREEFLOAT","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.SHORTINTEREST","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.Turnover","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
"TR.Volume","","Pricing/Reference/Fundamentals","","Live via RefinitivRAPI::rd_GetData (Eikonformulas) after rd_handshake() - batch validated","RefinitivRAPI-live"
