field,description,category,parameters,notes
TR.AVGDAILYVOLUME6M,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.CAADJUSTMENTFACTOR,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.CAADJUSTMENTTYPE,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.CAEFFECTIVEDATE,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.CLOSE,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.CLOSEPRICE,,From_RefinitivR_API,ADJUSTED=0,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.COMMONNAME,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.COMPANYMARKETCAP,,From_RefinitivR_API,"SDATE=0D, SCALE=6","Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.COMPANYNAME,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.EIKONFORMULA.DATE,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.EXCHANGEMARKETIDCODE,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.EXCHANGENAME,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.FREECASHFLOW,,From_RefinitivR_API,"PERIOD=LTM,SDATE=0D,CURN=USD","Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.FREEFLOATPCT,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.GROSSPROFIT,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.INSTRUMENTISACTIVE,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.INSTRUMENTTYPE,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.ISINCODE,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.ISSUEMARKETCAP,,From_RefinitivR_API,"SCALE=6,SHTYPE=FFL,CURN=USD","Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.ISSUESHARESOUTSTANDING,,From_RefinitivR_API,SCALE=3,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.IVPRICETOLNTRINSICVALUEGLOBALRANK,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.LIPPERRICCODE,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.LOWPRICE,,From_RefinitivR_API,SDATE:0D,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.OPEN,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.OPERATINGMIC,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.PE,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.PRICE,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.PRICECLOSE.CURRENCY,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.PRICETARGETMEAN,,From_RefinitivR_API,SDATE:0CY,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.PRIMARYINSTRUMENT,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.RDNEXCHANGECODE,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.RETIREDATE,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.REVENUE,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.REVENUE.DATE,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.RIC,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.RICCODE,,From_RefinitivR_API,,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.SHARESFREEFLOAT,,From_RefinitivR_API,SDATE=0D,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
TR.SHORTINTEREST,,From_RefinitivR_API,SDATE=0D,"Mined from RefinitivR package source (examples, docs, tests) - real fields used in the API"
